brand,model,year,mileage,fuel_type,transmission,owners,origin,car_type,seats,condition,price
Isuzu,Dmax,2023.0,,Dầu,Số sàn,,Nhật Bản,Pick-up (bán tải),5.0,Mới,569000000
BMW,5 Series,2018.0,48000.0,Xăng,Tự động,1.0,Nước khác,Sedan,4.0,Đã sử dụng,1289000000
Ford,Territory,2023.0,19900.0,Xăng,Tự động,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,779000000
Ford,Transit,2019.0,155000.0,Dầu,Số sàn,1.0,Việt Nam,Minivan (MPV),16.0,Đã sử dụng,490000000
Mitsubishi,Outlander,2021.0,60000.0,Xăng,5,,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,659000000
Ford,Everest,2024.0,16668.0,Dầu,Tự động,1.0,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,1315000000
Chevrolet,Cruze,2015.0,12000.0,Xăng,Số sàn,,Đang cập nhật,--,,Đã sử dụng,185000000
VinFast,VF3,2025.0,,Điện,Tự động,,Việt Nam,Coupe (2 cửa),5.0,Mới,299000000
BMW,4 Series,2015.0,73000.0,Xăng,Tự động,1.0,Đức,Mui trần,4.0,Đã sử dụng,1350000000
Honda,City,2023.0,28800.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,510000000
Toyota,Wigo,2018.0,60000.0,Xăng,Tự động,1.0,Nước khác,Hatchback,5.0,Đã sử dụng,275000000
VinFast,VF5,2025.0,,Điện,Tự động,,Việt Nam,SUV / Cross over,5.0,Mới,499000000
Ford,Transit,2024.0,7900.0,Dầu,Số sàn,1.0,Việt Nam,Minivan (MPV),6.0,Đã sử dụng,815000000
Mercedes Benz,GLC,2022.0,45000.0,Dầu,Số sàn,1.0,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,1489000000
Mercedes Benz,GLC,2021.0,50000.0,Xăng,Tự động,1.0,Đức,SUV / Cross over,5.0,Đã sử dụng,1475000000
Mazda,CX 5,2018.0,76000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,635000000
VinFast,Lux A2.0,2021.0,25000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,570000000
Mitsubishi,Triton,2025.0,,Dầu,Tự động,,Thái Lan,Pick-up (bán tải),5.0,Mới,150000000
Kia,Soluto,2019.0,80000.0,Xăng,Số sàn,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,245000000
