id_xe,tieu_de,gia_ban_text,nam_san_xuat,hang_xe_mau_xe,gia_ban,tinh_trang,so_km,xuat_xu,kieu_dang,dong_co,nhien_lieu,dung_tich,mau_ngoai_that,mau_noi_that,so_cho,so_cua,ngay_dang,dia_chi,thanh_pho
6184543,"Xe 
			
							Toyota Corolla Cross 
						1.8V 
						2021
						- 720 Triệu",720 Triệu,2021,Xe Toyota Corolla Cross 1.8V,720.0,Xe đã dùng,41000.0,Nhập khẩu,SUV,Xăng  1.8 L,Xăng,1.8,Xám,Đen,5,5,12/04/2025,"56A An Dương Vương, Phường 16, Quận 8 TP HCM",TP HCM
6156369,"Xe 
			
							Ford Ranger 
						Raptor 2.0L 4x4 AT 
						2023
						- 1 Tỷ 175 Triệu",1 Tỷ 175 Triệu,2023,Xe Ford Ranger Raptor 2.0L 4x4 AT,1000.0,Xe đã dùng,33000.0,Nhập khẩu,Bán tải / Pickup,Dầu  2.0 L,Dầu,2.0,Xám,Đen,5,4,12/04/2025,"61 Cao Thắng , p3 , Q3 TP HCM 
								 Xem gian hàng  ⇨",TP HCM
6140327,"Xe 
			
							Ford Ranger 
						XLS 2.0L 4x2 AT 
						2025
						- 677 Triệu",677 Triệu,2025,Xe Ford Ranger XLS 2.0L 4x2 AT,677.0,Xe mới,,Lắp ráp trong nước,Bán tải / Pickup,Dầu  2.0 L,Dầu,2.0,Trắng,Đỏ,5,4,12/04/2025,105 Láng Hạ Hà Nội,Hà Nội
6133248,"Xe 
			
							Ford Everest 
						Titanium 2.0L 4x4 AT 
						2019
						- 895 Triệu",895 Triệu,2019,Xe Ford Everest Titanium 2.0L 4x4 AT,895.0,Xe đã dùng,45000.0,Nhập khẩu,SUV,Dầu  2.0 L,Dầu,2.0,Trắng,Đen,7,5,12/04/2025,"150 Huỳnh Tấn Phát, P. Tân Thuận Tây, Quận 7 TP HCM 
								 Xem gian hàng  ⇨",TP HCM
6110829,"Xe 
			
							Toyota Fortuner 
						2.7V 4x2 AT 
						2019
						- 710 Triệu",710 Triệu,2019,Xe Toyota Fortuner 2.7V 4x2 AT,710.0,Xe đã dùng,85000.0,Nhập khẩu,SUV,Xăng  2.7 L,Xăng,2.7,Bạc,Nâu,7,5,12/04/2025,"Lạc Long Quân,  Tân Bình TP HCM",TP HCM
6076889,"Xe 
			
							Hyundai Elantra 
						2.0 AT Cao cấp 
						2023
						- 640 Triệu",640 Triệu,2023,Xe Hyundai Elantra 2.0 AT Cao cấp,640.0,Xe đã dùng,11000.0,Lắp ráp trong nước,Sedan,Xăng  2.0 L,Xăng,2.0,Đen,Đen,5,4,12/04/2025,"191-193 Nguyễn Văn Cừ, P. Võ Cường, Tp. Bắc Ninh Bắc Ninh",
5914836,"Xe 
			
							Toyota Land Cruiser 
						3.5 V6 
						2025
						- 4 Tỷ 286 Triệu",4 Tỷ 286 Triệu,2025,Xe Toyota Land Cruiser 3.5 V6,4000.0,Xe mới,,Nhập khẩu,SUV,Xăng  3.4 L,Xăng,3.4,Đen,Đen,7,5,12/04/2025,"Thanh Xuân Hà Nội 
								 Xem gian hàng  ⇨",Hà Nội
6150755,"Xe 
			
							Mercedes Benz S class 
						S400L 
						2015
						- 1 Tỷ 161 Triệu",1 Tỷ 161 Triệu,2015,Xe Mercedes Benz S class S400L,1000.0,Xe đã dùng,80000.0,Lắp ráp trong nước,Sedan,Xăng  3.0 L,Xăng,3.0,Đen,Nâu,5,4,12/04/2025,Tp Hcm TP HCM,TP HCM
4662175,"Xe 
			
							Mercedes Benz Maybach 
						S680 4Matic 
						2022
						- 14 Tỷ 900 Triệu",14 Tỷ 900 Triệu,2022,Xe Mercedes Benz Maybach S680 4Matic,14000.0,Xe mới,,Nhập khẩu,Sedan,Xăng  6.0 L,Xăng,6.0,Trắng,Kem,4,4,12/04/2025,Số 2 Tôn Thất Thuyết - Mỹ Đình Hà Nội,Hà Nội
6184036,"Xe 
			
							Lexus RX 
						350 
						2017
						- 2 Tỷ 620 Triệu",2 Tỷ 620 Triệu,2017,Xe Lexus RX 350,2000.0,Xe đã dùng,75000.0,Nhập khẩu,SUV,Xăng  3.5 L,Xăng,3.5,Trắng,Nâu,5,5,12/04/2025,"463A - 463B Trần Hưng Đạo, Phường Cầu Kho, Quận 1, TP.HCM TP HCM",TP HCM
