id,title,brand,model,year,price,mileage,fuel_type,transmission,owners,origin,car_type,seats,condition,location,post_time,crawl_time,weight,load_capacity
125061589,Mercedes Benz GLC 200   2022 - 38000 km,Mercedes Benz,GLC Class,2022,1300000000,38000,Xăng,Tự động,1,Việt Nam,Sedan,5,Đã sử dụng,"Thị trấn Đắk Mil, Huyện Đắk Mil, Đắk Nông",Đăng 5 phút trước,2025-05-18 11:28:21,> 1 tấn,> 2 tấn
125061554,Honda Jazz 2018 VX - 70000 km,Honda,Jazz,2018,339000000,70000,Xăng,Tự động,,Thái Lan,Hatchback,5,Đã sử dụng,"Phường Phú Mỹ, Thành phố Thủ Dầu Một, Bình Dương",Đăng 5 phút trước,2025-05-18 11:28:21,> 1 tấn,> 2 tấn
125061671,thaco 950kg 2014 rẽ,Hãng khác,Dòng khác,2014,90000000,110000,Xăng,Tự động,,Đang cập nhật,--,,Đã sử dụng,"Xã Phước Hưng, Huyện Long Điền, Bà Rịa - Vũng Tàu",Đăng 2 phút trước,2025-05-18 11:28:21,> 1 tấn,> 2 tấn
124821256,Ford Fiesta Sport 5D 2012 - Chính Hãng - Giá Tốt,Ford,Fiesta,2012,298000000,37000,Xăng,Tự động,1,Việt Nam,Hatchback,5,Đã sử dụng,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",Đăng 7 phút trước,2025-05-18 11:28:22,> 1 tấn,> 2 tấn
125056816,Hyundai Accent 2021 1.4 AT - 34000 km,Hyundai,Accent,2021,400000000,34000,Xăng,Tự động,1,Việt Nam,Sedan,5,Đã sử dụng,"Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương",Đăng 3 giờ trước,2025-05-18 11:28:22,> 1 tấn,> 2 tấn
123466198,Mitsubishi Xpander 2022 AT Premium - chính chủ ban,Mitsubishi,Xpander,2022,548000000,60000,Xăng,Tự động,1,Nước khác,Minivan (MPV),9,Đã sử dụng,"Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh",Đăng 7 phút trước,2025-05-18 11:28:23,> 1 tấn,> 2 tấn
124877986,Toyota RAIZE SPORT NK 2023 Siêu Lướt,Toyota,Raize,2023,505000000,35000,Xăng,Tự động,1,Nước khác,Minivan (MPV),5,Đã sử dụng,"Phường Gia Thụy, Quận Long Biên, Hà Nội",Đăng 7 phút trước,2025-05-18 11:28:23,> 1 tấn,> 2 tấn
124902474,Ford Territory 2024 Titanium siêu lướt 16 ngàn km,Ford,Territory,2024,786000000,16000,Xăng,Tự động,1,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 8 phút trước,2025-05-18 11:28:24,> 1 tấn,> 2 tấn
124518721,Honda Civic 2021 G 1.8 AT - 46000 km,Honda,Civic,2021,596000000,46000,Xăng,Tự động,1,Thái Lan,--,5,Đã sử dụng,"Xã Bình Mỹ, Huyện Bắc Tân Uyên, Bình Dương",Đăng 25 ngày trước,2025-05-18 11:28:24,> 1 tấn,> 2 tấn
124077784,"🌟🌟🌟 FORD ECOSPORT TITANIUM, Sx 2019, 35.000Km🌟🌟🌟",Ford,EcoSport,2019,445000000,35000,Xăng,Tự động,1,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-18 11:28:25,> 1 tấn,> 2 tấn
123181084,Bentley Continental GT mới nhất thị trường 14k KLm,Bentley,Continental,2013,3799000000,14000,Xăng,Tự động,1,Hàn Quốc,Coupe (2 cửa),4,Đã sử dụng,"Phường 4, Quận 8, Tp Hồ Chí Minh",Đăng 3 tháng trước,2025-05-18 11:28:25,> 1 tấn,> 2 tấn
122522231,Mercedes Benz E200 exclusive model 2020. Màu Trắng,Mercedes Benz,E Class,2020,1059000000,75000,Xăng,Tự động,1,Đang cập nhật,Sedan,5,Đã sử dụng,"Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",Đăng 2 tháng trước,2025-05-18 11:28:26,> 1 tấn,> 2 tấn
125061618,Toyota Corolla Altis 2017 1.8G AT - 102354 km,Toyota,Corolla Altis,2017,440000000,102354,Xăng,Tự động,1,Việt Nam,Sedan,5,Đã sử dụng,"Phường Long Hòa, Quận Bình Thuỷ, Cần Thơ",Đăng 4 phút trước,2025-05-18 11:28:26,> 1 tấn,> 2 tấn
125047133,Toyota veloz  2022 Cross Top 1.5 một chủ,Toyota,1116,2022,535000000,62,Xăng,Tự động,,Nước khác,--,,Đã sử dụng,"Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",Đăng 3 phút trước,2025-05-18 11:28:27,> 1 tấn,> 2 tấn
124382214,Toyota Yaris 2009 1.3 AT - 135000 km,Toyota,Yaris,2009,239000000,135000,Xăng,Tự động,,Nhật Bản,Sedan,5,Đã sử dụng,"Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-18 11:28:28,> 1 tấn,> 2 tấn
124964849,Mercedes Benz GLC 2021 300 4MATIC - 640000 km,Mercedes Benz,GLC,2021,1650000000,640000,Xăng,Tự động,,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",Đăng 4 ngày trước,2025-05-18 11:28:28,> 1 tấn,> 2 tấn
123053033,Kia Sedona 2017 2.2 DAT - 100000 km,Kia,Sedona,2017,618000000,100000,Dầu,Tự động,,Việt Nam,Minivan (MPV),7,Đã sử dụng,"Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Đăng 3 tháng trước,2025-05-18 11:28:28,> 1 tấn,> 2 tấn
124916660,"Mazda 3 2019 1.5L Luxury chạy 6,5 vạn rất mới",Mazda,3,2019,469000000,65689,Xăng,Tự động,,Việt Nam,Sedan,5,Đã sử dụng,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Đăng 7 phút trước,2025-05-18 11:28:28,> 1 tấn,> 2 tấn
123873567,Mazda CX 5 Premium Sport Odo 5600 km Đk 3/2024,Mazda,CX 5,2024,818000000,5600,Xăng,Tự động,,Việt Nam,--,,Đã sử dụng,"Phường 5, Quận 5, Tp Hồ Chí Minh",Đăng 2 tháng trước,2025-05-18 11:28:29,> 1 tấn,> 2 tấn
123648229,Accent 2019 ATH,Hyundai,Accent,2019,390000000,83000,Xăng,Tự động,1,Việt Nam,Sedan,5,Đã sử dụng,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Đăng 1 phút trước,2025-05-18 11:28:29,> 1 tấn,> 2 tấn
125044771,"CIVIC G 2021 CỰC MỚI, ODO: 22.000KM, SƠN ZIN 98%",Honda,Civic,2021,605000000,22000,Xăng,Tự động,1,Thái Lan,Sedan,5,Đã sử dụng,"Phường 12, Quận 10, Tp Hồ Chí Minh",Đăng 21 giờ trước,2025-05-18 11:28:29,> 1 tấn,> 2 tấn
125061512,210 2016 1.0 Base - 50 km,Hyundai,Grand i10,2016,250000000,50,Xăng,Tự động,,Ấn Độ,Hatchback,5,Đã sử dụng,"Phường Ea Tam, Thành phố Buôn Ma Thuột, Đắk Lắk",Đăng 8 phút trước,2025-05-18 11:28:30,> 1 tấn,> 2 tấn
124653845,Ford Everest 2006 Diesel XL 4x2 - 146000 km,Ford,Everest,2006,165000000,146000,Dầu,Số sàn,1,Việt Nam,SUV / Cross over,7,Đã sử dụng,"Phường Mỹ Thới, Thành phố Long Xuyên, An Giang",Đăng 19 ngày trước,2025-05-18 11:28:31,> 1 tấn,> 2 tấn
124952408,Toyota Vios 2008 1.5G - 24000 km,Toyota,Vios,2008,288000000,24000,Xăng,Tự động,,Việt Nam,--,,Đã sử dụng,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",Đăng 5 phút trước,2025-05-18 11:28:31,> 1 tấn,> 2 tấn
